Number,Author name,Book Title,Average Rating,Ratings,Score,Votes,Book Link,Publication Date,Number of Pages,Rating Category
1,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",4.34,9232450.0,4024922,40937,https://www.goodreads.com/book/show/2767052-the-hunger-games,"September 14, 2008",374,High
2,J.K. Rowling,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",4.5,3585721.0,3197636,32665,https://www.goodreads.com/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix,"June 21, 2003",912,High
3,Jane Austen,Pride and Prejudice,4.29,4481431.0,2835937,29072,https://www.goodreads.com/book/show/1885.Pride_and_Prejudice,"January 28, 1813",279,High
4,Harper Lee,To Kill a Mockingbird,4.26,6510108.0,2504431,25577,https://www.goodreads.com/book/show/2657.To_Kill_a_Mockingbird,"July 11, 1960",323,High
5,Markus Zusak,The Book Thief,4.39,2723259.0,1886139,19382,https://www.goodreads.com/book/show/19063.The_Book_Thief,"September 1, 2005",592,High
6,Stephenie Meyer,"Twilight (The Twilight Saga, #1)",3.66,6948763.0,1722125,17552,https://www.goodreads.com/book/show/41865.Twilight,"October 5, 2005",498,Medium
7,George Orwell,Animal Farm,4.0,4174481.0,1618034,16755,https://www.goodreads.com/book/show/170448.Animal_Farm,"August 17, 1945",141,Medium
8,J.R.R. Tolkien,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4.61,138930.0,1570441,16272,https://www.goodreads.com/book/show/30.J_R_R_Tolkien_4_Book_Boxed_Set,"January 1, 1954",1728,High
9,C.S. Lewis,"The Chronicles of Narnia (The Chronicles of Narnia, #1-7)",4.28,681417.0,1482819,15452,https://www.goodreads.com/book/show/11127.The_Chronicles_of_Narnia,"January 1, 1956",767,High
10,John Green,The Fault in Our Stars,4.13,5440870.0,1371067,14191,https://www.goodreads.com/book/show/11870085-the-fault-in-our-stars,"January 10, 2012",313,High
